id,Name,Transition,Type of news,Icon,LAT_Y,LONG_X,Address,Town,Province,Can,Ownership,Date,What happened?,NumGoodSource,NumBadSource,Source 1,Source 2,Doc:Pub,Doc1:Pub1,Doc:SelfPub,Doc:Wiki,Doc:FishWrap,Doc:NewspaperCanada,Document4 - Unifor
90,Amherst Daily News,to community news,daily paper - paid,daily paper - paid : to community news,45.815936,-64.20437,,Amhurst,NS,Canada,Transcontinental,8/2/2013,"The Amherst Daily News stopped daily publication and became a weekly newspaper as of Aug. 2, 2013.",2,1,http://www.vancouversun.com/news/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says/9355158/story.html,http://www.cbc.ca/news/canada/nova-scotia/amherst-daily-news-ends-120-year-run-as-daily-paper-1.1403119,http://www.vancouversun.com/news/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says/9355158/story.html,http://www.cbc.ca/news/canada/nova-scotia/amherst-daily-news-ends-120-year-run-as-daily-paper-1.1403119,,,,http://www.newspaperscanada.ca/sites/default/files/2013%20Daily%20Newspapers%20Circulation%20Report%20FINAL.xlsx,
91,24 Hours - Calgary,closed,daily paper - free,daily paper - free : closed,51.07574,-114.025566,2615 12 St. N.E.,Calgary,AB,Canada,Sun Media,8/2/2013,"Sun Media/Quebecor closed the free daily 24 Hours - Calgary paper on August 2nd, 2013. ",2,0,http://business.financialpost.com/fp-tech-desk/sun-media-job-cuts-closing,http://www.straight.com/news/400921/sun-media-will-close-24-hours-commuter-papers-ottawa-calgary-and-edmonton,http://business.financialpost.com/fp-tech-desk/sun-media-job-cuts-closing,http://www.straight.com/news/400921/sun-media-will-close-24-hours-commuter-papers-ottawa-calgary-and-edmonton,,,,,
92,24 Hours - Edmonton,closed,daily paper - free,daily paper - free : closed,53.5401105,-113.50057,,Edmonton,AB,Canada,Sun Media,8/2/2013,"Sun Media/Quebecor closed the free daily 24 Hours - Edmonton paper on August 2nd, 2013. ",2,0,http://business.financialpost.com/fp-tech-desk/sun-media-job-cuts-closing,http://www.straight.com/news/400921/sun-media-will-close-24-hours-commuter-papers-ottawa-calgary-and-edmonton,http://business.financialpost.com/fp-tech-desk/sun-media-job-cuts-closing,http://www.straight.com/news/400921/sun-media-will-close-24-hours-commuter-papers-ottawa-calgary-and-edmonton,,,,,
93,24 Hours - Ottawa,closed,daily paper - free,daily paper - free : closed,45.4215296,-75.6971931,,Ottawa,ON,Canada,Sun Media,8/2/2013,"Sun Media/Quebecor closed the free daily 24 Hours - Ottawa paper on August 2nd, 2013. ",2,1,http://business.financialpost.com/fp-tech-desk/sun-media-job-cuts-closing,http://www.straight.com/news/400921/sun-media-will-close-24-hours-commuter-papers-ottawa-calgary-and-edmonton,http://business.financialpost.com/fp-tech-desk/sun-media-job-cuts-closing,http://www.straight.com/news/400921/sun-media-will-close-24-hours-commuter-papers-ottawa-calgary-and-edmonton,,,,,UNIFOR paper closure spreadsheet
94,Two Row Times: the Spirit of All Nations.,new,community paper,community paper : new,42.9598903,-80.0522861,,Hagersville,ON,Canada,independent,8/14/2013,Two Row Times was launched in August 2013 when the Tekawennake News closed. ,2,0,http://www.brantfordexpositor.ca/2013/07/31/new-newspaper-to-rise-as-teka-ceases-publication,http://www.thespec.com/news-story/4024944-six-nations-loses-50-year-old-newspaper/,http://www.brantfordexpositor.ca/2013/07/31/new-newspaper-to-rise-as-teka-ceases-publication,http://www.thespec.com/news-story/4024944-six-nations-loses-50-year-old-newspaper/,,,,,
95,Crowsnest Pass Promoter,closed,community paper,community paper : closed,49.6073485,-114.43279,,Crowsnest Pass,AB,Canada,Sun Media,8/28/2013,The Crowsnest Pass Promoter was closed by Sun Media in August 2013. ,2,0,http://crowsnestpasshome.blogspot.ca/2013/08/crowsnest-pass-promoter.html,http://www.pinchercreekvoice.com/2013/08/crowsnest-pass-promoter-publishes-final.html,http://crowsnestpasshome.blogspot.ca/2013/08/crowsnest-pass-promoter.html,http://www.pinchercreekvoice.com/2013/08/crowsnest-pass-promoter-publishes-final.html,,,,,
96,Etobicoke Guardian,decrease,community paper,community paper : decrease,43.7109701,-79.568226,,Etobicoke,ON,Canada,Metroland,9/1/2013,"In September, the Etobicoke Guardian, a Metroland community paper, published its final Tuesday edition. It is now distributed once a week on Thursdays. ",0,2,http://www.advertising.tcnmicrosites.com/etobicoke.html,,,,http://www.advertising.tcnmicrosites.com/etobicoke.html,,,Newspapers Canada Year in Review - 2013,
97,North York Mirror,decrease,community paper,community paper : decrease,43.7676339,-79.368437,,North York,ON,Canada,Metroland,9/1/2013,"In September, the North York Mirror published its final Tuesday edition. It is now distributed once a week on Thursdays. The Metroland community paper was previously published twice a week. ",0,2,http://www.advertising.tcnmicrosites.com/northyork.html,,,,http://www.advertising.tcnmicrosites.com/northyork.html,,,Newspapers Canada Year in Review - 2013,
98,Scarborough Mirror,decrease,community paper,community paper : decrease,43.7764258,-79.2317521,,Scarborough,ON,Canada,Metroland,9/1/2013,"In September, the Scarborough Mirror published its final Tuesday edition. It is now distributed once a week on Thursdays. The Metroland community paper was previously published twice a week. ",0,2,http://www.advertising.tcnmicrosites.com/scarborough.html,,,,http://www.advertising.tcnmicrosites.com/scarborough.html,,,Newspapers Canada Year in Review - 2013,
99,Norfolk News,new,community paper,community paper : new,42.7967232,-80.4136271,,Norfolk,ON,Canada,Metroland,10/3/2013,"On October 3, 2013, Metroland launched the first edition of the Norfolk News, a weekly newspaper covering the Norfolk County community. ",0,1,Newspapers Canada Year in Review - 2013,,,,,,,Newspapers Canada Year in Review - 2013,
100,Victoria News Daily,closed,daily paper - free,daily paper - free : closed,48.4235812,-123.36143,,Victoria,BC,Canada,Black Press,11/1/2013,"The Victoria News Daily ceased daily publication in November 2013. (It is different from the Victoria News, which has always been a community newspaper. )",0,1,Black Press Staff,,,,,,,,UNIFOR paper closure spreadsheet
101,Abbotsford Times,closed,community paper,community paper : closed,49.046934,-122.36799,,Abbotsford,BC,Canada,Black Press,12/2/2013,"Black Press closed the Abbotsford Times, a community newspaper, at the end of 2013.",2,0,http://www.abbynews.com/news/234140701.html,http://metronews.ca/news/vancouver/872207/abbotsford-mission-times-newspaper-shut-down/,http://www.abbynews.com/news/234140701.html,http://metronews.ca/news/vancouver/872207/abbotsford-mission-times-newspaper-shut-down/,,,,,
102,Kamloops Daily News,closed,daily paper - paid,daily paper - paid : closed,50.6748527,-120.33218,,Kamloops,BC,Canada,Glacier Media,1/11/2014,"Glacier Media Group closed the Kamloops Daily News on Jan. 11, 2014, leaving British Columbia’s 12th largest city without a daily newspaper. ",1,2,http://www.theglobeandmail.com/news/british-columbia/the-kamloops-daily-news-to-stop-publishing/article16260187/,,http://www.theglobeandmail.com/news/british-columbia/the-kamloops-daily-news-to-stop-publishing/article16260187/,,,,,http://www.newspaperscanada.ca/news/industry/kamloops-week-expand-three-day-publishing-schedule-kamloops-daily-news-close,UNIFOR paper closure spreadsheet
103,Kamloops This Week,increase,community paper,community paper : increase,50.6616651,-120.36213,,Kamloops,BC,Canada,Thompson River Publications,1/17/2014,"In response to the impending closure of the Daily News, Thompson River Publications Partnership Ltd. announced that Kamloops This Week would increase its publication dates to three days per week effective January 17. Kamloops This Week was originally published as a free daily paper until 2011. ",0,2,http://www.newspaperscanada.ca/news/industry/kamloops-week-expand-three-day-publishing-schedule-kamloops-daily-news-close,,,,,,,http://www.newspaperscanada.ca/news/industry/kamloops-week-expand-three-day-publishing-schedule-kamloops-daily-news-close,UNIFOR paper closure spreadsheet
104,Peace Arch News Daily,closed,daily paper - free,daily paper - free : closed,49.0458866,-122.7798,,White Rock,BC,Canada,Black Press,3/28/2014,"Peace Arch News Daily, a Black Press title, ceased daily publication in March 2014. The community newspaper, called Peace Arch News, remains in circulation. ",1,2,http://www.marketingmag.ca/media/newspapers-canada-releases-2014-circulation-report-149490,,http://www.marketingmag.ca/media/newspapers-canada-releases-2014-circulation-report-149490,,,,http://blackpress.ca/publications/?id=44,,UNIFOR paper closure spreadsheet
105,The Sarnia Journal,new,community paper,community paper : new,42.9768773,-82.367208,,Sarnia,ON,Canada,independent,3/1/2014,"The Sarnia Journal, a community paper, was launched in March of 2014 by three local business people. ",1,0,http://thesarniajournal.ca/about/,,http://thesarniajournal.ca/about/,,,,,,
106,Vernon Morning Star Daily,closed,daily paper - free,daily paper - free : closed,50.2570219,-119.30436,,Vernon,BC,Canada,Black Press,3/28/2014,"The Black Press title, Vernon Morning Star Daily, ceased daily publication in March 2014. The community newspaper, called Vernon Morning Star, remains in circulation. ",1,2,http://www.marketingmag.ca/media/newspapers-canada-releases-2014-circulation-report-149490,,http://www.marketingmag.ca/media/newspapers-canada-releases-2014-circulation-report-149490,,http://blackpress.ca/publications/?id=35,,,,UNIFOR paper closure spreadsheet
107,Nanaimo News Bulletin Daily,closed,daily paper - free,daily paper - free : closed,49.1859238,-123.9579069,777 Poplar St,Nanaimo,BC,Canada,Black Press,3/28/2014,"The Black Press title, Nanaimo News Bulletin Daily ceased daily publication March, 2014. The community newspaper, Nanaimo News Bulletin, remains in publication. ",1,2,http://www.marketingmag.ca/media/newspapers-canada-releases-2014-circulation-report-149490,,http://www.marketingmag.ca/media/newspapers-canada-releases-2014-circulation-report-149490,,,,,2014 Newspaper Canada stats,UNIFOR paper closure spreadsheet
108,Anishinabek News,to online,community paper,community paper : to online,46.097228,-79.515361,,Nipissing,ON,Canada,independent,4/1/2014,"Anishinabek News, a monthly paper that covers First Nations issues, ceased printing hard copies and moved online as of the April 2014 issue. ",,,http://anishinabeknews.ca/wp-content/uploads/2014/03/for-website-March-.pdf,,,,http://anishinabeknews.ca/wp-content/uploads/2014/03/for-website-March-.pdf,,,,
109,Chronicle Herald - Nova Scotia,new,daily paper - paid,daily paper - paid : new,46.2486851,-60.851817,,Cape Breton,NS,Canada,independent,4/18/2014,"In Nova Scotia, the Chronicle Herald launched a new Cape Breton edition of the paper at the end of March 2014. ",1,1,http://www.theglobeandmail.com/news/national/halifax-paper-starts-cape-breton-edition/article18068932/,,http://www.theglobeandmail.com/news/national/halifax-paper-starts-cape-breton-edition/article18068932/,,,,,http://www.newspaperscanada.ca/news/industry/chronicle-herald-expands-cape-breton,
110,Cape Breton Star,new,community paper,community paper : new,46.1414929,-60.192996,,Cape Breton,NS,Canada,independent,5/1/2014,The Cape Breton Star is a new community newspaper launched by independently-owned Chronicle Herald in May 2014. ,1,0,http://www.theglobeandmail.com/news/national/halifax-paper-starts-cape-breton-edition/article18068932/,,http://www.theglobeandmail.com/news/national/halifax-paper-starts-cape-breton-edition/article18068932/,,,,,,
111,TO Night,closed,community paper,community paper : closed,43.9886348,-79.4585363,"222 Edward St., ",Aurora,ON,Canada,independent,5/29/2014,"In 2013, the daily TO Night , began appearing  twice a week.  It then closed down entirely in 2014. ",1,2,http://www.vancouversun.com/news/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says/9355158/story.html,,http://www.vancouversun.com/news/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says/9355158/story.html,,,https://en.wikipedia.org/wiki/T.o.night,http://www.newspaperscanada.ca/sites/default/files/2012-Daily-Newspapers-Circulation-Report-FINAL-10212013.xlsx,,
112,Halifax Examiner,new,online,online : new,44.6630063,-63.65766,,Halifax,NS,Canada,independent,6/1/2014,"The Halifax-Examiner, a subscriber-funded online investigative news site, was launched in June 2014.",1,1,http://j-source.ca/article/halifax-examiner-one-year,,http://j-source.ca/article/halifax-examiner-one-year,,http://www.halifaxexaminer.ca/about/,,,,
113,The Grid,closed,community paper,community paper : closed,43.6576585,-79.378801,,Toronto,ON,Canada,Torstar,7/3/2014,The Star Media Group's community newspaper The Grid  closed in July 2014. ,1,0,http://www.thestar.com/business/2014/07/02/the_grid_weekly_magazine_is_closing.html,,http://www.thestar.com/business/2014/07/02/the_grid_weekly_magazine_is_closing.html,,,,,,
114,Voyage North,decrease,radio - public,radio - public : decrease,48.3808951,-89.2476823,,Thunder Bay,ON,Canada,CBC,8/11/2014,"Locally produced Voyage North, the CBC radio drive-home show in Thunder Bay, aired its last show on Aug. 11, 2014 and was replaced with a drive-home show produced from Sudbury, Ontario, more than 1,000 kilometres away.",1,0,http://www.theglobeandmail.com/arts/books-and-media/cbcs-voyage-north-goes-silent/article19973637/,,http://www.theglobeandmail.com/arts/books-and-media/cbcs-voyage-north-goes-silent/article19973637/,,,,,,
115,Here Magazine,closed,community paper,community paper : closed,45.2769757,-66.0504754,210 Crown Street,Saint John,NB,Canada,Brunswick News/Irving Media,8/24/2014,"Originally an independent alternative weekly, Here Magazine closed in August 2014. ",1,0,http://www.country94.ca/news/1810468257/here-magazine-cease-operations,,http://www.country94.ca/news/1810468257/here-magazine-cease-operations,,,,,,
116,L’Écho de Victoriaville ,closed,community paper,community paper : closed,46.0558774,-71.958001,,Victoriaville,QC,Canada,Quebecor,9/3/2014,"L’Écho de Victoriaville, a Quebecor publication, competed with Transcontinental's La Nouvelle Union. It was launched in 2012 and closed in September 2014. ",0,2,Newspapers Canada Year in Review - 2012,,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,Newspapers Canada Year in Review - 2012,
117,Châteauguay Express,closed,community paper,community paper : closed,45.36256,-73.732778,,Châteauguay,QC,Canada,Transcontinental,9/3/2014,"Châteauguay Express, launched by Transcontinental in 2011, was closed in September 2014. ",1,1,http://www.infosuroit.com/des-journaux-de-la-region-pourraient-disparaitre/,,http://www.infosuroit.com/des-journaux-de-la-region-pourraient-disparaitre/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
118,L’Impact de Drummondville ,closed,community paper,community paper : closed,45.840005,-72.435222,,Drummondville,QC,Canada,Transcontinental,9/3/2014,"L’Impact de Drummondville, a Transcontinental community newspaper, was closed in September, 2014. ",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
119,Roussillon Express,closed,community paper,community paper : closed,45.416814,-73.488965,,La Prairie,QC,Canada,Transcontinental,9/3/2014,"Roussillon Express, a TC publication, was closed in September, 2014 due to the TC-QMI deal. It competed with Quebecor’s Le Reflet in Delson.",1,1,https://web.archive.org/web/20140903213020/http://www.lesaintlaurentportage.ca/2014/09/03/le-st-laurent-portage-ferme-ses-portes,,https://web.archive.org/web/20140903213020/http://www.lesaintlaurentportage.ca/2014/09/03/le-st-laurent-portage-ferme-ses-portes,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
120,Pub Extra Magazine,to online,community paper,community paper : to online,45.5014829,-73.568909,,Laval-Laurentides,QC,Canada,Néomédia,9/3/2014,Néomédia bought Pub Extra Magazine and publish it online only; a result of the Transcontinental/Quebcor merger. ,1,2,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,,,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,
121,Le Journal de Magog ,closed,community paper,community paper : closed,45.26983,-72.159471,,Magog,QC,Canada,Transcontinental,9/3/2014,"Le Journal de Magog, a Transcontinental publication, was closed in September, 2014.",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
122,La Voix de la Matanie,closed,community paper,community paper : closed,48.8449159,-67.536777,,Matane,QC,Canada,Transcontinental,9/3/2014,"La Voix de la Matanie, a Transcontinental community newspaper, was closed September, 2014. ",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
123,La Voix Gaspésienne,closed,community paper,community paper : closed,48.8449159,-67.536777,305 Rue de la Gare,Matane,QC,Canada,Transcontinental,9/3/2014,"La Voix Gaspésienne, a Transcontinental community newspaper, was closed September, 2014. ",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
124,L’Echo de la Lièvre,closed,community paper,community paper : closed,46.552435,-75.497876,,Mont-Laurier,QC,Canada,Transcontinental,9/3/2014,"L’Echo de la Lièvre, a Transcontinental community newspaper, was closed September, 2014. ",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
125,Point de vue Laurentides,closed,community paper,community paper : closed,46.1184616,-74.5961852,,Mont-Tremblant,QC,Canada,Transcontinental,9/3/2014,"Point de vue Laurentides, a Transcontinental community newspaper, was closed September, 2014. ",1,1,https://web.archive.org/web/20140903213020/http://www.lesaintlaurentportage.ca/2014/09/03/le-st-laurent-portage-ferme-ses-portes,,https://web.archive.org/web/20140903213020/http://www.lesaintlaurentportage.ca/2014/09/03/le-st-laurent-portage-ferme-ses-portes,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
126,L’Écho de Repentigny,closed,community paper,community paper : closed,45.7744145,-73.410792,,Repentigny,QC,Canada,Transcontinental,9/3/2014,"L’Écho de Repentigny, a Transcontinental community newspaper, was closed September, 2014. ",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
127,Le Progrès Écho,closed,community paper,community paper : closed,48.4473806,-68.535347,,Rimouski,QC,Canada,Transcontinental,9/3/2014,"Le Progrès Écho, a Transcontinental community newspaper, was closed September, 2014.",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
128,Le Rimouskois,closed,community paper,community paper : closed,48.460329,-68.507308,,Rimouski,QC,Canada,Transcontinental,9/3/2014,"Le Rimouskois, a Transcontinental community newspaper, was closed September, 2014. ",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
129,Abitibi Express – Rouyn-Noranda,closed,community paper,community paper : closed,48.2381655,-78.996419,,Rouyn-Noranda,QC,Canada,Transcontinental,9/3/2014,"Abitibi Express – Rouyn-Noranda, a Transcontinental community newspaper, was closed September, 2014. Competed with Quebecor’s Le Citoyen. A casualty of the TC-QMI deal. ",1,1,http://ici.radio-canada.ca/regions/abitibi/2014/09/03/001-abitibi-express-ferme-transcontinental-quebecor.shtml,,http://ici.radio-canada.ca/regions/abitibi/2014/09/03/001-abitibi-express-ferme-transcontinental-quebecor.shtml,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
130,L’Écho de Saint-Jean-sur-Richelieu,closed,community paper,community paper : closed,45.3322035,-73.285677,,Saint-Jean-sur-Richelieu,QC,Canada,Transcontinental,9/3/2014,"L’Écho de Saint-Jean-sur-Richelieu, a Transcontinental community newspaper, was closed September, 2014.",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
131,Le Riverain,closed,community paper,community paper : closed,49.127001,-66.481539,,Sainte-Anne-des-Monts,QC,Canada,Transcontinental,9/3/2014,"Le Riverain, a Transcontinental community newspaper, was closed September, 2014. ",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
132,Édition Beauce Nord,closed,community paper,community paper : closed,46.4574993,-71.039544,,Sainte-Marie,QC,Canada,Transcontinental,9/3/2014,"Édition Beauce Nord, a Transcontinental community newspaper, closed in September, 2014. ",1,2,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
133,L’Écho de Shawinigan,closed,community paper,community paper : closed,46.5402753,-72.751649,,Shawinigan,QC,Canada,Transcontinental,9/3/2014,"L’Écho de Shawinigan, a Transcontinental community newspaper, was closed September, 2014.",1,1,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
134,Sorel-Tracy Express,to online,community paper,community paper : to online,45.9867843,-73.175547,,Sorel-Tracy,QC,Canada,Néomédia,9/3/2014,"Néomédia bought the community newspaper the Sorel-Tracy Express, and publish them online only as of September, 2014. ",1,2,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,,,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,
135,Abitibi Express – Val d’Or ,closed,community paper,community paper : closed,48.1211069,-77.781935,,Val d’Or,QC,Canada,Transcontinental,9/3/2014,"Abitibi Express – Val d’Or, a Transcontinental community newspaper, was closed September, 2014.",1,1,http://ici.radio-canada.ca/regions/abitibi/2014/09/03/001-abitibi-express-ferme-transcontinental-quebecor.shtml,,http://ici.radio-canada.ca/regions/abitibi/2014/09/03/001-abitibi-express-ferme-transcontinental-quebecor.shtml,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
136,Valleyfield Express,closed,community paper,community paper : closed,45.2546294,-74.123813,,Valleyfield,QC,Canada,Transcontinental,9/3/2014,"Valleyfield Express, a Transcontinental community newspaper, was closed September, 2014. TC Media originally launched the weekly print (and online) publication, the Valleyfield Express.ca, in 2012. ",1,1,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,,,,,Newspapers Canada Year in Review - 2012,
137,Chambly Express,to online,community paper,community paper : to online,45.4437776,-73.278798,,Chambly,QC,Canada,Néomédia,9/3/2014,"Chambly Express, a community newspaper, was purchased by Néomédia in September 2014 and is now published online only. ",2,1,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,,
138,Le Journal de Joliette,to online,community paper,community paper : to online,46.0330266,-73.425777,,Joliette,QC,Canada,Néomédia,9/3/2014,"Le Journal de Joliette, a community newspaper, was purchased by Néomédia in September 2014 and are now published online only.",2,1,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,,
139,L'Écho de Laval,to online,community paper,community paper : to online,45.5745372,-73.86549,,Laval,QC,Canada,Néomédia,9/3/2014,"L'Écho de Laval, a community newspaper, was purchased by Néomédia in September 2014 and are now published online only. ",2,1,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,,
140,Vallée-du-Richelieu Express,to online,community paper,community paper : to online,45.56505,-73.184121,,Mont-Saint-Hilaire,QC,Canada,Néomédia,9/3/2014,"Vallée-du-Richelieu Express, a community newspaper, was purchased by Néomédia in September 2014 and are now published online only. ",2,1,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,,,
141,Le Réveil,to online,community paper,community paper : to online,48.4121049,-71.22028,,Saguenay,QC,Canada,Néomédia,9/3/2014,"Le Réveil, a community newspaper, was purchased by Néomédia in September 2014 and are now published online only.",2,1,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,,
142,Le Point du Lac-Saint-Jean,to online,community paper,community paper : to online,48.7599258,-72.247024,,Saint-Félicien,QC,Canada,Néomédia,9/3/2014,"Le Point du Lac-Saint-Jean, a community newspaper, was purchased by Néomédia in September 2014 and is now published online only. ",2,1,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,,
